X,Y,OBJECTID,NAME_OF_SITE,ADDRESS,ZIP,PHONE
-75.151711837531181,39.985756781997104,58,Penrose Playground,1101 W. Susquehanna Ave. ,19122,215-685-2711
-75.024160109355847,40.048500432955542,59,Ramp Playground,3300 Solly Avenue ,19136,215-685-8746
-75.138286709804362,40.000578929451549,60,Rivera Recreation Center,3201 N. 5th Street ,19140,215-685-9887
-75.054052162515703,40.026317880451813,61,Roosevelt Playground,6455 Walker Street ,19135,215-685-8754
-75.238946435534345,39.956263673454757,62,Sayre-Morris Rec.Center,5835 Spruce Street ,19139,215-685-1994
-75.233732679073384,39.968002035088283,63,Shepard Recreation Ctr,57th & Haverford Avenue ,19131,215-685-1992
-75.132133761970195,39.977440384286218,64,Shissler Recreation Ctr,1800 Blair ,19125,215-685-9888
-75.092246641479704,40.021476237844695,65,Simpson Recreation Ctr,1010 Arrot St. ,19124,215-685-1223
-75.156749709538516,40.061635321050034,66,Simons Recreation Ctr.,7200 Woolston Street ,19138,215-685-3551
-75.186135663360247,39.92584850470972,67,Smith Playground,2100 S. 24th Street ,19145,215-685-1898
-75.152120740475198,39.943033866993169,68,Starr Garden Playground,6th & Lombard Streets ,19147,215-686-1782
-75.153038515117359,40.023593091270648,69,Stenton Park Playground,17th & Courtland Streets ,19140,215-685-9147
-75.122778781900848,40.049622384850089,70,Sturgis Playground,65th & 2nd Street ,19126,215-685-2877
-75.134566115676847,39.978789976241174,71,Towey Playground,Howard & Berks Streets ,19125,215-685-9892
-75.241230150265366,39.981239106177128,72,Tustin Recreation Center,60th St. & Columbia Ave. ,19131,215-685-0258
-75.188373266163623,39.93181580793911,73,Vare Recreation Center,26th & Morris Streets ,19145,215-685-1876
-75.051375335660879,40.029819794831219,74,Vote Recreation Center,4131 Unruh Ave ,19135,215-685-8753
-75.201215488665213,40.074730298692167,75,Water Tower Rec. Center,209 E. Hartwell Lane ,19118,215-685-9296
-75.22242387791276,39.96649752954314,76,West Mill Creek Plgd.,51st & Reno Streets ,19104,215-685-0186
-75.182287898858633,39.936041715547638,77,Wharton Square Plgd.,23rd & Wharton Streets ,19146,215-685-1888
-75.190741035954389,39.964103761040455,78,Wright James Rec.,3320-50 Haverford Ave ,19104,215-685-7686
